,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
103,Nathan Broadhead,wls WAL,"MF,FW",Wrexham,27,1998,37,20,"1,903",21.1,7,4,11,7,0,0,0,0,0.33,0.19,0.52,0.33,0.52,Matches
104,Andre Brooks,jm JAM,MF,Sheffield United,21,2003,39,28,"2,432",27,6,2,8,6,0,0,7,0,0.22,0.07,0.3,0.22,0.3,Matches
105,Ciaron Brown,nir NIR,DF,Oxford United,27,1998,37,37,"3,320",36.9,3,1,4,3,0,0,6,0,0.08,0.03,0.11,0.08,0.11,Matches
106,Dajaune Brown,jm JAM,FW,Derby County,19,2005,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,George Brown,,FW,Sheffield Weds,,,7,3,310,3.4,2,0,2,2,0,0,0,0,0.58,0,0.58,0.58,0.58,Matches
108,Jacob Brown,sct SCO,"FW,MF",Portsmouth,27,1998,15,5,493,5.5,1,1,2,1,0,0,2,0,0.18,0.18,0.37,0.18,0.37,Matches
109,Alan Browne,ie IRL,"MF,DF",Middlesbrough,30,1995,38,26,"2,471",27.5,4,3,7,4,0,0,2,0,0.15,0.11,0.25,0.15,0.25,Matches
110,Lewis Brunt,eng ENG,DF,Wrexham,24,2000,9,6,552,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
111,Joe Bryan,eng ENG,DF,Millwall,31,1993,19,6,738,8.2,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
112,Solomon Brynn,eng ENG,GK,Middlesbrough,24,2000,46,46,"4,140",46,0,1,1,0,0,0,1,0,0,0.02,0.02,0,0.02,Matches
113,Cameron Burgess,au AUS,DF,Swansea City,29,1995,46,46,"4,140",46,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
